City,Population,W,L,Team,W/L Ratio,Avg. Ratio
Atlanta,5789700,90,72,Braves,0.5555555555555556,0.5555555555555556
Baltimore,2798886,47,115,Orioles,0.29012345679012347,0.29012345679012347
Boston,4794447,108,54,Red Sox,0.6666666666666666,0.6666666666666666
Chicago,9512999,95,68,Cubs,0.5828220858895705,0.48276906763614325
Chicago,9512999,62,100,White Sox,0.38271604938271603,0.48276906763614325
Cincinnati,2165139,67,95,Reds,0.41358024691358025,0.41358024691358025
Cleveland,2055612,91,71,Indians,0.5617283950617284,0.5617283950617284
Dallas,7233323,67,95,Rangers,0.41358024691358025,0.41358024691358025
Denver,2853077,91,72,Rockies,0.558282208588957,0.558282208588957
Detroit,4297617,64,98,Tigers,0.3950617283950617,0.3950617283950617
Houston,6772470,103,59,Astros,0.6358024691358025,0.6358024691358025
Kansas City,2104509,58,104,Royals,0.35802469135802467,0.35802469135802467
Los Angeles,13310447,92,71,Dodgers,0.5644171779141104,0.5291221692039687
Los Angeles,13310447,80,82,Angels,0.49382716049382713,0.5291221692039687
Miami,6066387,63,98,Marlins,0.391304347826087,0.391304347826087
Milwaukee,1572482,96,67,Brewers,0.588957055214724,0.588957055214724
Minneapolis,3551036,78,84,Twins,0.48148148148148145,0.48148148148148145
New York,20153634,100,62,Yankees,0.6172839506172839,0.5462962962962963
New York,20153634,77,85,Mets,0.47530864197530864,0.5462962962962963
Philadelphia,6070500,80,82,Phillies,0.49382716049382713,0.49382716049382713
Phoenix,4661537,82,80,Diamondbacks,0.5061728395061729,0.5061728395061729
Pittsburgh,2342299,82,79,Pirates,0.5093167701863354,0.5093167701863354
San Diego,3317749,66,96,Padres,0.4074074074074074,0.4074074074074074
San Francisco,6657982,73,89,Giants,0.4506172839506173,0.5246913580246914
San Francisco,6657982,97,65,Athletics,0.5987654320987654,0.5246913580246914
Seattle,3798902,89,73,Mariners,0.5493827160493827,0.5493827160493827
St. Louis,2807002,88,74,Cardinals,0.5432098765432098,0.5432098765432098
Tampa Bay,3032171,90,72,Rays,0.5555555555555556,0.5555555555555556
Toronto,5928040,73,89,Blue Jays,0.4506172839506173,0.4506172839506173
Washington,6131977,82,80,Nationals,0.5061728395061729,0.5061728395061729
