City,Population,W,L,Team,W/L Ratio,Avg. Ratio
Atlanta,5789700,24,58,Hawks,0.2926829268292683,0.2926829268292683
Boston,4794447,55,27,Celtics,0.6707317073170732,0.6707317073170732
Charlotte,2474314,36,46,Hornets,0.43902439024390244,0.43902439024390244
Chicago,9512999,27,55,Bulls,0.32926829268292684,0.32926829268292684
Cleveland,2055612,50,32,Cavaliers,0.6097560975609756,0.6097560975609756
Dallas,7233323,24,58,Mavericks,0.2926829268292683,0.2926829268292683
Denver,2853077,46,36,Nuggets,0.5609756097560976,0.5609756097560976
Detroit,4297617,39,43,Pistons,0.47560975609756095,0.47560975609756095
Houston,6772470,65,17,Rockets,0.7926829268292683,0.7926829268292683
Indianapolis,2004230,48,34,Pacers,0.5853658536585366,0.5853658536585366
Los Angeles,13310447,42,40,Clippers,0.5121951219512195,0.4695121951219512
Los Angeles,13310447,35,47,Lakers,0.4268292682926829,0.4695121951219512
Memphis,1342842,22,60,Grizzlies,0.2682926829268293,0.2682926829268293
Miami,6066387,44,38,Heat,0.5365853658536586,0.5365853658536586
Milwaukee,1572482,44,38,Bucks,0.5365853658536586,0.5365853658536586
Minneapolis,3551036,47,35,Timberwolves,0.573170731707317,0.573170731707317
New Orleans,1268883,48,34,Pelicans,0.5853658536585366,0.5853658536585366
New York,20153634,28,54,Nets,0.34146341463414637,0.3475609756097561
New York,20153634,29,53,Knicks,0.35365853658536583,0.3475609756097561
Oklahoma City,1373211,48,34,Thunder,0.5853658536585366,0.5853658536585366
Orlando,2441257,25,57,Magic,0.3048780487804878,0.3048780487804878
Philadelphia,6070500,52,30,76ers,0.6341463414634146,0.6341463414634146
Phoenix,4661537,21,61,Suns,0.25609756097560976,0.25609756097560976
Portland,2424955,49,33,Trail Blazers,0.5975609756097561,0.5975609756097561
Sacramento,2296418,27,55,Kings,0.32926829268292684,0.32926829268292684
Salt Lake City,1186187,48,34,Jazz,0.5853658536585366,0.5853658536585366
San Antonio,2429609,47,35,Spurs,0.573170731707317,0.573170731707317
San Francisco,6657982,58,24,Warriors,0.7073170731707317,0.7073170731707317
Toronto,5928040,59,23,Raptors,0.7195121951219512,0.7195121951219512
Washington,6131977,43,39,Wizards,0.524390243902439,0.524390243902439
