City,Population,W,L,Team,W/L Ratio,Avg. Ratio
Boston,4794447,50,20,Bruins,0.7142857142857143,0.7142857142857143
Buffalo,1132804,25,45,Sabres,0.35714285714285715,0.35714285714285715
Calgary,1392609,37,35,Flames,0.5138888888888888,0.5138888888888888
Chicago,9512999,33,39,Blackhawks,0.4583333333333333,0.4583333333333333
Columbus,2041520,45,30,Blue Jackets,0.6,0.6
Dallas,7233323,42,32,Stars,0.5675675675675675,0.5675675675675675
Denver,2853077,43,30,Avalanche,0.589041095890411,0.589041095890411
Detroit,4297617,30,39,Red Wings,0.43478260869565216,0.43478260869565216
Edmonton,1321426,36,40,Oilers,0.47368421052631576,0.47368421052631576
Las Vegas,2155664,51,24,Golden Knights,0.68,0.68
Los Angeles,13310447,44,25,Ducks,0.6376811594202898,0.622894633764199
Los Angeles,13310447,45,29,Kings,0.6081081081081081,0.622894633764199
Miami,6066387,44,30,Panthers,0.5945945945945946,0.5945945945945946
Minneapolis,3551036,45,26,Wild,0.6338028169014085,0.6338028169014085
Montreal,4098927,29,40,Canadiens,0.42028985507246375,0.42028985507246375
Nashville,1865298,53,18,Predators,0.7464788732394366,0.7464788732394366
New York,20153634,44,29,Devils,0.6027397260273972,0.5182014205986808
New York,20153634,34,39,Rangers,0.4657534246575342,0.5182014205986808
New York,20153634,35,37,Islanders,0.4861111111111111,0.5182014205986808
Ottawa,1323783,28,43,Senators,0.39436619718309857,0.39436619718309857
Philadelphia,6070500,42,26,Flyers,0.6176470588235294,0.6176470588235294
Phoenix,4661537,29,41,Coyotes,0.4142857142857143,0.4142857142857143
Pittsburgh,2342299,47,29,Penguins,0.618421052631579,0.618421052631579
Raleigh,1302946,36,35,Hurricanes,0.5070422535211268,0.5070422535211268
San Francisco,6657982,45,27,Sharks,0.625,0.625
St. Louis,2807002,44,32,Blues,0.5789473684210527,0.5789473684210527
Tampa Bay,3032171,54,23,Lightning,0.7012987012987013,0.7012987012987013
Toronto,5928040,49,26,Maple Leafs,0.6533333333333333,0.6533333333333333
Vancouver,2463431,31,40,Canucks,0.43661971830985913,0.43661971830985913
Washington,6131977,49,26,Capitals,0.6533333333333333,0.6533333333333333
Winnipeg,778489,52,20,Jets,0.7222222222222222,0.7222222222222222
