"region"	"civilstånd"	"ålder"	"kön"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"
"01 Stockholms län"	"ogifta"	"totalt ålder"	"män"	448970	456896	465599	474214	483955	492898	501079	507966	513090	517611	522028	528282	538486	549662	560058	572560	583500	595667	606909	619133	630500	642084	655443	669352	681920	692879
"01 Stockholms län"	"ogifta"	"totalt ålder"	"kvinnor"	408794	415823	423475	431687	440423	448371	455329	461354	465934	469747	473644	479346	487565	496495	505449	516217	525866	536507	546616	557669	567750	577438	587908	598846	609204	618583
"01 Stockholms län"	"gifta"	"totalt ålder"	"män"	295054	293968	293353	292675	292212	292661	293987	294621	295205	296050	297649	300198	304706	310384	315991	322053	328235	334116	340312	344910	350462	355876	362411	368933	374108	379065
"01 Stockholms län"	"gifta"	"totalt ålder"	"kvinnor"	297800	296830	296063	295354	294759	295057	296279	296679	297080	297876	299470	301731	305635	310622	316235	322184	327965	332994	338502	342242	346917	351389	356647	362203	366801	371100
"01 Stockholms län"	"skilda"	"totalt ålder"	"män"	69847	71861	73531	75221	76780	78224	79516	80747	81712	82356	82895	83303	84117	84772	85523	86947	88419	90298	91640	93924	95711	96711	97819	98841	100303	101845
"01 Stockholms län"	"skilda"	"totalt ålder"	"kvinnor"	96305	98764	100999	103179	105286	107164	108925	110501	111672	112431	113388	114259	115686	116779	118164	120059	122199	124551	126663	129550	131968	133735	135377	136992	138953	141055
"01 Stockholms län"	"änkor/änklingar"	"totalt ålder"	"män"	17380	17373	17506	17416	17383	17272	17102	17079	16953	16813	16710	16578	16387	16328	16227	16172	16046	16002	15925	15933	15931	15956	15907	15987	16179	16227
"01 Stockholms län"	"änkor/änklingar"	"totalt ålder"	"kvinnor"	74352	74241	73804	73178	72642	71730	70993	69935	68821	67988	67116	66248	65522	64474	63616	62990	62113	61338	60439	59681	58805	58250	57548	56989	56656	56327
"03 Uppsala län"	"ogifta"	"totalt ålder"	"män"	76945	77830	78356	79086	79788	80159	80909	81993	82894	83558	84478	85023	89521	90568	92021	93694	95129	96109	97220	98389	99498	101237	103546	106362	109068	111952
"03 Uppsala län"	"ogifta"	"totalt ålder"	"kvinnor"	69668	70688	71119	71750	72287	72805	73537	74526	75213	75965	76684	77258	80636	81364	82518	83929	84870	85827	86857	88047	88941	90701	92857	95203	97520	99859
"03 Uppsala län"	"gifta"	"totalt ålder"	"män"	51977	51490	51038	50696	50398	50246	50172	50062	50118	50158	50304	50555	53354	53988	54567	55203	55844	56138	56537	56863	57409	58140	59329	60239	61091	61751
"03 Uppsala län"	"gifta"	"totalt ålder"	"kvinnor"	52313	51874	51380	51026	50632	50488	50439	50352	50341	50398	50548	50765	53489	54057	54681	55347	55963	56148	56646	56927	57439	58075	59118	59921	60776	61389
