"Tax/fastställd o besk.bar förv.ink samt antal inkomsttagare (m ink>0), samtl skattskyldiga, efter region, tabellinnehåll och år"

"region","Taxerad/fastställd förvärvsink, tkr 1992","Taxerad/fastställd förvärvsink, tkr 1993","Taxerad/fastställd förvärvsink, tkr 1994","Taxerad/fastställd förvärvsink, tkr 1995","Taxerad/fastställd förvärvsink, tkr 1996","Taxerad/fastställd förvärvsink, tkr 1997","Taxerad/fastställd förvärvsink, tkr 1998","Taxerad/fastställd förvärvsink, tkr 1999","Taxerad/fastställd förvärvsink, tkr 2000","Taxerad/fastställd förvärvsink, tkr 2001","Taxerad/fastställd förvärvsink, tkr 2002","Taxerad/fastställd förvärvsink, tkr 2003","Taxerad/fastställd förvärvsink, tkr 2004","Taxerad/fastställd förvärvsink, tkr 2005","Taxerad/fastställd förvärvsink, tkr 2006","Taxerad/fastställd förvärvsink, tkr 2007","Taxerad/fastställd förvärvsink, tkr 2008","Taxerad/fastställd förvärvsink, tkr 2009","Taxerad/fastställd förvärvsink, tkr 2010","Taxerad/fastställd förvärvsink, tkr 2011","Taxerad/fastställd förvärvsink, tkr 2012","Taxerad/fastställd förvärvsink, tkr 2013","Taxerad/fastställd förvärvsink, tkr 2014","Taxerad/fastställd förvärvsink, tkr 2015","Taxerad/fastställd förvärvsink, tkr 2016","Taxerad/fastställd förvärvsink, tkr 2017","Taxerad/fastställd förvärvsink, tkr 2018","Taxerad/fastställd förvärvsink, tkr 2019","Taxerad/fastställd förvärvsink, tkr 2020","Taxerad/fastställd förvärvsink, antal inkomsttagare 1992","Taxerad/fastställd förvärvsink, antal inkomsttagare 1993","Taxerad/fastställd förvärvsink, antal inkomsttagare 1994","Taxerad/fastställd förvärvsink, antal inkomsttagare 1995","Taxerad/fastställd förvärvsink, antal inkomsttagare 1996","Taxerad/fastställd förvärvsink, antal inkomsttagare 1997","Taxerad/fastställd förvärvsink, antal inkomsttagare 1998","Taxerad/fastställd förvärvsink, antal inkomsttagare 1999","Taxerad/fastställd förvärvsink, antal inkomsttagare 2000","Taxerad/fastställd förvärvsink, antal inkomsttagare 2001","Taxerad/fastställd förvärvsink, antal inkomsttagare 2002","Taxerad/fastställd förvärvsink, antal inkomsttagare 2003","Taxerad/fastställd förvärvsink, antal inkomsttagare 2004","Taxerad/fastställd förvärvsink, antal inkomsttagare 2005","Taxerad/fastställd förvärvsink, antal inkomsttagare 2006","Taxerad/fastställd förvärvsink, antal inkomsttagare 2007","Taxerad/fastställd förvärvsink, antal inkomsttagare 2008","Taxerad/fastställd förvärvsink, antal inkomsttagare 2009","Taxerad/fastställd förvärvsink, antal inkomsttagare 2010","Taxerad/fastställd förvärvsink, antal inkomsttagare 2011","Taxerad/fastställd förvärvsink, antal inkomsttagare 2012","Taxerad/fastställd förvärvsink, antal inkomsttagare 2013","Taxerad/fastställd förvärvsink, antal inkomsttagare 2014","Taxerad/fastställd förvärvsink, antal inkomsttagare 2015","Taxerad/fastställd förvärvsink, antal inkomsttagare 2016","Taxerad/fastställd förvärvsink, antal inkomsttagare 2017","Taxerad/fastställd förvärvsink, antal inkomsttagare 2018","Taxerad/fastställd förvärvsink, antal inkomsttagare 2019","Taxerad/fastställd förvärvsink, antal inkomsttagare 2020","Besk.bar förvärvsink, tkr 1992","Besk.bar förvärvsink, tkr 1993","Besk.bar förvärvsink, tkr 1994","Besk.bar förvärvsink, tkr 1995","Besk.bar förvärvsink, tkr 1996","Besk.bar förvärvsink, tkr 1997","Besk.bar förvärvsink, tkr 1998","Besk.bar förvärvsink, tkr 1999","Besk.bar förvärvsink, tkr 2000","Besk.bar förvärvsink, tkr 2001","Besk.bar förvärvsink, tkr 2002","Besk.bar förvärvsink, tkr 2003","Besk.bar förvärvsink, tkr 2004","Besk.bar förvärvsink, tkr 2005","Besk.bar förvärvsink, tkr 2006","Besk.bar förvärvsink, tkr 2007","Besk.bar förvärvsink, tkr 2008","Besk.bar förvärvsink, tkr 2009","Besk.bar förvärvsink, tkr 2010","Besk.bar förvärvsink, tkr 2011","Besk.bar förvärvsink, tkr 2012","Besk.bar förvärvsink, tkr 2013","Besk.bar förvärvsink, tkr 2014","Besk.bar förvärvsink, tkr 2015","Besk.bar förvärvsink, tkr 2016","Besk.bar förvärvsink, tkr 2017","Besk.bar förvärvsink, tkr 2018","Besk.bar förvärvsink, tkr 2019","Besk.bar förvärvsink, tkr 2020","Besk.bar förvärvsink, antal inkomsttagare 1992","Besk.bar förvärvsink, antal inkomsttagare 1993","Besk.bar förvärvsink, antal inkomsttagare 1994","Besk.bar förvärvsink, antal inkomsttagare 1995","Besk.bar förvärvsink, antal inkomsttagare 1996","Besk.bar förvärvsink, antal inkomsttagare 1997","Besk.bar förvärvsink, antal inkomsttagare 1998","Besk.bar förvärvsink, antal inkomsttagare 1999","Besk.bar förvärvsink, antal inkomsttagare 2000","Besk.bar förvärvsink, antal inkomsttagare 2001","Besk.bar förvärvsink, antal inkomsttagare 2002","Besk.bar förvärvsink, antal inkomsttagare 2003","Besk.bar förvärvsink, antal inkomsttagare 2004","Besk.bar förvärvsink, antal inkomsttagare 2005","Besk.bar förvärvsink, antal inkomsttagare 2006","Besk.bar förvärvsink, antal inkomsttagare 2007","Besk.bar förvärvsink, antal inkomsttagare 2008","Besk.bar förvärvsink, antal inkomsttagare 2009","Besk.bar förvärvsink, antal inkomsttagare 2010","Besk.bar förvärvsink, antal inkomsttagare 2011","Besk.bar förvärvsink, antal inkomsttagare 2012","Besk.bar förvärvsink, antal inkomsttagare 2013","Besk.bar förvärvsink, antal inkomsttagare 2014","Besk.bar förvärvsink, antal inkomsttagare 2015","Besk.bar förvärvsink, antal inkomsttagare 2016","Besk.bar förvärvsink, antal inkomsttagare 2017","Besk.bar förvärvsink, antal inkomsttagare 2018","Besk.bar förvärvsink, antal inkomsttagare 2019","Besk.bar förvärvsink, antal inkomsttagare 2020"
"01 Stockholms län",242889741,231123950,264442744,277040657,291203184,309624567,347191461,357086028,401882864,464578404,439113061,422804363,439364814,508393937,545560341,580505388,610475475,587562172,659528816,715820645,710725253,716308624,772271681,810574680,875717095,891932492,964011937,1020497142,1096957893,..,..,1317620,1308062,1321470,1334723,1345237,1362708,1387549,1416267,1429334,1436104,1441289,1440703,1452789,1472915,1501692,1525809,1532270,1561670,1600724,1632342,1664221,1698139,1744451,1784203,1820354,1853044,1879927,224076051,211674126,242504036,270806824,267242949,284234073,319815747,327420086,371105610,436344575,412382192,398025162,412539869,481164926,518363118,553854639,583256639,559790304,629384645,683710741,673522025,677370034,731632014,768176780,832684644,847990585,919070619,972062724,1043551994,..,..,1256289,1279631,1296816,1308019,1316513,1335758,1360803,1390367,1403160,1407687,1416734,1416616,1427681,1448330,1476447,1501769,1503490,1531404,1570664,1603064,1634803,1668908,1709083,1749601,1784667,1815249,1841649
"03 Uppsala län",28489592,29319679,31077814,31886630,33171808,34597325,36201464,38218870,40559199,44329261,46436956,48177477,49992936,52117763,54701581,57179833,61922356,64835802,66812358,69410769,75344361,77754032,80972037,85641815,88219369,93269751,95835017,99994354,104035398,..,..,211282,207914,210152,211837,213156,215491,218354,222119,224830,226531,229011,229906,231685,234620,248332,251074,250914,254775,259514,262516,265814,269807,275777,281002,286510,291982,296338,25290664,25978905,27275567,30778155,29163347,30373370,31672994,33367857,35571513,39733400,42044876,44052478,45554815,47601421,50133070,52655119,57102567,59947470,61511924,63808448,68877500,71017003,73966972,78324010,80800618,85641867,88029677,91501161,94653677,..,..,197395,202300,205040,206177,207105,209618,212545,216537,219238,220902,224856,225552,227291,230350,243800,246825,246058,249495,254689,257925,261074,265076,269855,275453,280771,285773,290209
"04 Södermanlands län",26386045,26802986,27552932,29994418,30766274,30426024,31328142,32934284,34377314,36230947,37339650,38971166,41119127,43215112,46112084,50266350,50580081,53359127,51335852,52987618,54830627,57160562,59034124,60902983,63645177,66770632,69995598,73959378,74936380,..,..,200131,194612,194421,194264,193623,194012,195276,196399,197072,198341,200780,201570,202648,204925,206823,207789,206706,208470,210959,212625,215526,217554,221013,223913,227431,229605,230454,23098656,23396152,23761978,28866928,26929791,26449103,27141161,28527196,29900074,32127636,33406821,35236962,37139524,39163763,41971208,46125704,46398091,49157739,46751085,48128725,49150547,51253276,52860121,54463393,57148687,60100473,63179835,66547504,66828509,..,..,187566,190096,190675,190103,189170,189761,190939,192156,192982,194195,198304,198915,200011,202232,204006,205174,203287,204756,207694,209345,212123,214340,217229,220099,223337,225247,226098
"05 Östergötlands län",40974205,42001635,43606833,46194028,47297293,48870097,51368319,53503228,56037756,59636766,61570181,63867495,66269522,68866714,72149877,75554820,79595281,82240948,83730957,87217361,92067111,93463700,97144500,100602382,105332020,110792800,117260687,122204510,124177504,..,..,316593,307971,308776,309820,309474,311332,313557,315732,315721,317214,320645,320927,322513,325025,326747,328212,325142,329920,334248,336566,340214,343761,350077,354986,360229,364515,366688,35767537,36612073,37574353,44386786,41223868,42542221,44667837,46430205,48836027,53009456,55250567,57888085,59932785,62427623,65581804,69015323,73013661,75623306,76578261,79631841,83287505,84355399,87688758,90788101,95433053,100636097,106916960,111010539,111984837,..,..,294543,299538,301794,301925,301230,303442,305668,308341,308419,309937,315868,315870,317348,319921,321490,323431,319347,323553,328377,330771,334369,338071,343001,348170,353254,357314,359892
"06 Jönköpings län",33589845,33838718,34470514,37137084,38336169,39783762,41706957,43372886,45806598,49591011,49646094,51888043,54102004,56291351,61003915,64166431,67482748,67481545,66740665,69647923,72484782,72767312,75811417,78991440,83273296,87964657,93297978,95900375,98608186,..,..,254762,247104,247684,248162,248743,250167,252993,255325,255206,255742,258225,258826,260151,263335,265814,266879,263258,266073,268765,269335,271067,273699,277687,281696,286110,289006,290264,29361984,29463264,29516353,35606653,33398540,34645892,36265042,37624471,39931314,44178766,44486278,47004402,49009625,51122900,55730164,58905999,62170346,62139431,60932485,63537981,65463541,65522435,68309776,71213500,75450463,79939865,85135471,87085734,89014823,..,..,235163,238980,240725,240834,241143,242916,245656,248252,248380,249175,254725,254956,256224,259484,261832,263179,258724,261178,264333,264968,266685,269414,272916,277422,281543,284275,285700
"07 Kronobergs län",18561708,18921971,19723636,21451974,22747622,22747092,23429257,24264161,25284118,28265709,28188620,32001725,30693320,32416004,37495042,36732813,39966498,39291160,38544253,39842742,40743393,41185148,42525138,45836870,48682579,50083078,53530635,57979327,59750612,..,..,139402,135381,135761,136259,136488,136919,137861,138838,138690,138810,140709,141191,142372,143653,145199,145176,143602,144704,145998,146672,147722,148947,150889,152913,155488,157699,158263,16261259,16543114,16993175,20590126,20025324,19912676,20428242,21104783,22063957,25308111,25369782,29344386,27923223,29600606,34611245,33865555,37065931,36377501,35376276,36503147,36901755,37206048,38398044,41551046,44373611,45657197,49012845,53079399,54418771,..,..,127706,130166,131182,131205,131162,132048,132867,134044,134055,134395,138422,138791,139970,141286,142799,143091,140898,141807,143330,144034,145061,146374,147968,150231,152597,154794,155441
"08 Kalmar län",23387154,23898010,24573066,25931924,26736198,27387808,28257951,29506998,30871084,32623628,33182045,34602362,36273633,37325111,39185502,40710597,42817019,44061734,44615865,45661442,46703015,47718917,52055968,51502626,53989144,56246828,58030668,60205109,61944609,..,..,189413,182450,182296,182321,182068,182312,182816,183654,183218,183111,185809,186259,186550,187909,188930,189097,187432,188626,189909,189796,190886,191901,194046,195516,197871,198916,199504,20118571,20519025,20766520,24711606,22995194,23523772,24191238,25235898,26554886,28647275,29382133,30999845,32548390,33544778,35313320,36833298,38909947,40145811,40336602,41147647,41469705,42313434,46455448,45694702,48158535,50262387,51949637,53605380,54742702,..,..,172999,175155,175938,175604,175069,175827,176487,177536,177214,177467,183169,183416,183686,184847,186043,186451,184254,185233,186668,186724,187702,188893,190654,192311,194539,195401,196226
"09 Gotlands län",5029472,5247022,5439290,5620248,5808072,6030840,6167745,6494734,6815714,7227221,7481674,7763775,8226571,8512663,8840205,9129538,9600977,9968149,10244227,10556841,11085866,11156846,11671208,12218964,13198992,13261467,13607287,13951904,16313216,..,..,44116,42758,42717,42745,42770,43241,43665,44048,44016,44192,44797,44962,45354,45704,45862,46043,45794,46363,46765,46980,47233,47426,47889,48364,48868,49369,49741,4269797,4458604,4559532,5332919,4932885,5126093,5216963,5477901,5779141,6267494,6560089,6881703,7312209,7582718,7877919,8162482,8626799,8986379,9177354,9428472,9786033,9806729,10272518,10768158,11740832,11759654,12081201,12286797,14489882,..,..,40130,40671,40807,40874,40764,41417,41867,42341,42333,42578,43969,44129,44519,44892,45069,45338,44963,45510,45953,46160,46430,46768,47082,47576,48086,48555,48957
"10 Blekinge län",14800328,15278691,15826627,16832656,17162548,18213339,18666396,19382790,20444074,21498806,22786554,24111983,25062726,25177065,25855288,27055138,28480625,28725392,28966567,29726519,30482612,31011460,32201108,33313562,34622915,36341103,38042513,39283294,40621008,..,..,118382,115095,115317,116003,115679,116306,117201,117685,117388,117534,118766,118910,119494,120321,121060,120723,119263,119699,120714,120812,120925,121731,123153,124748,126613,127121,127093,12786894,13190530,13497582,16092344,14820468,15782213,16099596,16681936,17699723,18982211,20383544,21839428,22698208,22774365,23394526,24605503,26011523,26254131,26274264,26879224,27164217,27581023,28657830,29631660,30923574,32535525,34171488,35082477,36068514,..,..,108848,110906,111656,112084,111555,112425,113348,114111,113781,114052,117135,117163,117749,118534,119299,119072,117265,117693,118702,118884,118963,119814,120849,122564,124327,124883,124770
"12 Skåne län",112494810,114036551,118561711,130344629,132656387,136327099,145054361,152721073,160373247,172508324,175709206,178509060,190316694,198629133,217951784,228343568,249653003,251291821,248970922,258334967,271300899,268802017,280989579,300237520,309165909,329753160,345411594,361810545,380542501,..,..,844185,823241,827180,831225,832458,838334,847450,855741,858768,864695,876275,880106,886885,899872,912254,917654,914285,926290,941468,950815,960829,972994,993273,1011334,1028907,1043867,1054461,98888361,99901417,102603511,125396009,116428905,119427044,127151167,133691895,140942489,154602818,158549724,162206988,173101382,181100302,200037896,210420755,231459140,232958263,229019028,237172496,246777128,243315331,254541638,272722892,281357684,301165866,316225326,330229966,346084583,..,..,780513,795127,802554,803761,803527,811359,820616,830026,833971,839658,860846,863639,870891,883913,895405,901382,894923,905905,921749,931086,941246,953635,970444,989186,1005745,1019730,1030382
